Mês;Total Líquido;Total sem camp;Recorrente;% Recorrente;% Rec sem camp;Fee Fixo;MFO Consult.;Carteira ADM;TX ADM;Previdência;Seguros;RV;COE;RF;FIIs Primário;Oferta Fundos;Banking;Internacional;Campanhas;Outros/Estornos;Fee Plataforma (custo);Saúde (custo);Clientes FF Ativos
Fev/2026;20042;20042;10402;51,9%;51,9%;4887;2323;1775;785;600;33;3209;0;1300;25;4418;1790;1;0;64;0;-1166;18
Mar/2026;20066;17601;12240;61,0%;69,5%;6072;2342;1884;1003;732;206;1268;276;989;1816;0;2288;178;2465;65;-21;-1519;19
Abr/2026;19769;18355;11185;56,6%;60,9%;5593;2399;1672;790;643;88;2943;0;1633;997;0;1956;610;1414;61;-28;-1063;19
Mai/2026;28460;20413;11579;40,7%;56,7%;5649;2447;1714;967;620;181;1214;3657;4024;25;274;832;174;8047;23;-28;-1388;19
Jun/2026;;;;;;;;;;;;;;;;;;;;;;;
Jul/2026;;;;;;;;;;;;;;;;;;;;;;;
Ago/2026;;;;;;;;;;;;;;;;;;;;;;;
Set/2026;;;;;;;;;;;;;;;;;;;;;;;
Out/2026;;;;;;;;;;;;;;;;;;;;;;;
Nov/2026;;;;;;;;;;;;;;;;;;;;;;;
Dez/2026;;;;;;;;;;;;;;;;;;;;;;;
Jan/2027;;;;;;;;;;;;;;;;;;;;;;;
Fev/2027;;;;;;;;;;;;;;;;;;;;;;;
Mar/2027;;;;;;;;;;;;;;;;;;;;;;;
